distance_m,Pr_W
1.000000000000000000e+00,2.248835256563058847e-08
1.191919191919191823e+00,1.489345871555605329e-08
1.383838383838383868e+00,1.039561042851500266e-08
1.575757575757575690e+00,7.543510230056746379e-09
1.767676767676767735e+00,5.639987388947226385e-09
1.959595959595959558e+00,4.317996841587535955e-09
2.151515151515151381e+00,3.370219004535078157e-09
2.343434343434343425e+00,2.672839681222262201e-09
2.535353535353535470e+00,2.148488270322729725e-09
2.727272727272727071e+00,1.746965995455094364e-09
2.919191919191919116e+00,1.434656215761832806e-09
3.111111111111111160e+00,1.188430110513062574e-09
3.303030303030302761e+00,9.919987486603641458e-10
3.494949494949494806e+00,8.336542757515664081e-10
3.686868686868686851e+00,7.048293828003479617e-10
3.878787878787878451e+00,5.991545071743214293e-10
4.070707070707070940e+00,5.118264636537431318e-10
4.262626262626262985e+00,4.391768883453323856e-10
4.454545454545454142e+00,3.783717905978029832e-10
4.646464646464646187e+00,3.271988855101468546e-10
4.838383838383838231e+00,2.839147804060739730e-10
5.030303030303030276e+00,2.471336556638522501e-10
5.222222222222222321e+00,2.157451506004383445e-10
5.414141414141413478e+00,1.888530918591885279e-10
5.606060606060605522e+00,1.657292871949591692e-10
5.797979797979797567e+00,1.457783377440087935e-10
5.989898989898989612e+00,1.285105972041897212e-10
6.181818181818181657e+00,1.135212159173225386e-10
6.373737373737373701e+00,1.004737726909096080e-10
6.565656565656564858e+00,8.908739604212406480e-11
6.757575757575756903e+00,7.912656134007066248e-11
6.949494949494948948e+00,7.039295581062193831e-11
7.141414141414140992e+00,6.271895309245772600e-11
7.333333333333333037e+00,5.596234913245498914e-11
7.525252525252525082e+00,5.000209287236718982e-11
7.717171717171717127e+00,4.473480624598376424e-11
7.909090909090908283e+00,4.007193402350878519e-11
8.101010101010100328e+00,3.593739896942333828e-11
8.292929292929292373e+00,3.226566447620513856e-11
8.484848484848484418e+00,2.900012737315534527e-11
8.676767676767676463e+00,2.609177950633960616e-11
8.868686868686868507e+00,2.349808906327497247e-11
9.060606060606060552e+00,2.118206230763669260e-11
9.252525252525252597e+00,1.911145401836375372e-11
9.444444444444444642e+00,1.725810096367745191e-11
9.636363636363634910e+00,1.559735753955526259e-11
9.828282828282826955e+00,1.410761653541650293e-11
1.002020202020201900e+01,1.276990106516907328e-11
1.021212121212121104e+01,1.156751617966593538e-11
1.040404040404040309e+01,1.048575068125356239e-11
1.059595959595959513e+01,9.511621289197727372e-12
1.078787878787878718e+01,8.633652632032062288e-12
1.097979797979797922e+01,7.841687628782405857e-12
1.117171717171717127e+01,7.126723712540244954e-12
1.136363636363636331e+01,6.480771084227136599e-12
1.155555555555555536e+01,5.896729791248774393e-12
1.174747474747474740e+01,5.368282928770887701e-12
1.193939393939393945e+01,4.889803679560803414e-12
1.213131313131312972e+01,4.456274257028186506e-12
1.232323232323232176e+01,4.063215107625907845e-12
1.251515151515151381e+01,3.706622973158887316e-12
1.270707070707070585e+01,3.382916618944701429e-12
1.289898989898989790e+01,3.088889206825520124e-12
1.309090909090908994e+01,2.821666438188659359e-12
1.328282828282828198e+01,2.578669715880533877e-12
1.347474747474747403e+01,2.357583678873844569e-12
1.366666666666666607e+01,2.156327552806177271e-12
1.385858585858585812e+01,1.973029835562905000e-12
1.405050505050505016e+01,1.806005902013560924e-12
1.424242424242424221e+01,1.653738167563784361e-12
1.443434343434343425e+01,1.514858497801270741e-12
1.462626262626262452e+01,1.388132592403718060e-12
1.481818181818181657e+01,1.272446106652906499e-12
1.501010101010100861e+01,1.166792304213128162e-12
1.520202020202020066e+01,1.070261061000360862e-12
1.539393939393939270e+01,9.820290625952348942e-13
1.558585858585858475e+01,9.013510572484036624e-13
1.577777777777777679e+01,8.275520435238876867e-13
1.596969696969696884e+01,7.600202863911170230e-13
1.616161616161615910e+01,6.982010684216688763e-13
1.635353535353535293e+01,6.415910939375807944e-13
1.654545454545454675e+01,5.897334737213171471e-13
1.673737373737373701e+01,5.422132264264600544e-13
1.692929292929292728e+01,4.986532402889625749e-13
1.712121212121212110e+01,4.587106452733145300e-13
1.731313131313131137e+01,4.220735515184319512e-13
1.750505050505050519e+01,3.884581149794662764e-13
1.769696969696969546e+01,3.576058955845984284e-13
1.788888888888888928e+01,3.292814771181704719e-13
1.808080808080807955e+01,3.032703214708734631e-13
1.827272727272726982e+01,2.793768329223172195e-13
1.846464646464646364e+01,2.574226107919484940e-13
1.865656565656565391e+01,2.372448711546731008e-13
1.884848484848484773e+01,2.186950204059240475e-13
1.904040404040403800e+01,2.016373653104505175e-13
1.923232323232323182e+01,1.859479458086191728e-13
1.942424242424242209e+01,1.715134783088317597e-13
1.961616161616161591e+01,1.582303984866527755e-13
1.980808080808080618e+01,1.460039937597590723e-13
2.000000000000000000e+01,1.347476166296001186e-13
