distance_m,Pr_W
1.000000000000000000e+00,2.953181956681075244e-08
1.191919191919191823e+00,2.060812220609312246e-08
1.383838383838383868e+00,1.515664719360664630e-08
1.575757575757575690e+00,1.158875867734273348e-08
1.767676767676767735e+00,9.129602286951045820e-09
1.959595959595959558e+00,7.364891216166652976e-09
2.151515151515151381e+00,6.056928257127310294e-09
2.343434343434343425e+00,5.061479786982607951e-09
2.535353535353535470e+00,4.286944625993136112e-09
2.727272727272727071e+00,3.672904434950563562e-09
2.919191919191919116e+00,3.178215282066841741e-09
3.111111111111111160e+00,2.774082701786757305e-09
3.303030303030302761e+00,2.439872724761816871e-09
3.494949494949494806e+00,2.160490295969013159e-09
3.686868686868686851e+00,1.924689286179150428e-09
3.878787878787878451e+00,1.723954300562809091e-09
4.070707070707070940e+00,1.551743538895999167e-09
4.262626262626262985e+00,1.402965450740180199e-09
4.454545454545454142e+00,1.273610231869550297e-09
4.646464646464646187e+00,1.160485972262112564e-09
4.838383838383838231e+00,1.061026844357177176e-09
5.030303030303030276e+00,9.731517171694287912e-10
5.222222222222222321e+00,8.951586090941035877e-10
5.414141414141413478e+00,8.256449706316672381e-10
5.606060606060605522e+00,7.634468245711733437e-10
5.797979797979797567e+00,7.075918379136021973e-10
5.989898989898989612e+00,6.572628004213453583e-10
6.181818181818181657e+00,6.117689565706005499e-10
6.373737373737373701e+00,5.705233208629482271e-10
6.565656565656564858e+00,5.330245925010329642e-10
6.757575757575756903e+00,4.988426351393936420e-10
6.949494949494948948e+00,4.676067416886357187e-10
7.141414141414140992e+00,4.389960908560518923e-10
7.333333333333333037e+00,4.127319404753636774e-10
7.525252525252525082e+00,3.885712061230290738e-10
7.717171717171717127e+00,3.663011514915351895e-10
7.909090909090908283e+00,3.457349762211071173e-10
8.101010101010100328e+00,3.267081322167545462e-10
8.292929292929292373e+00,3.090752344041784989e-10
8.484848484848484418e+00,2.927074589697859129e-10
8.676767676767676463e+00,2.774903432766644504e-10
8.868686868686868507e+00,2.633219182532406827e-10
9.060606060606060552e+00,2.501111171642548776e-10
9.252525252525252597e+00,2.377764150852518030e-10
9.444444444444444642e+00,2.262446617114118596e-10
9.636363636363634910e+00,2.154500767964455877e-10
9.828282828282826955e+00,2.053333828883570852e-10
1.002020202020201900e+01,1.958410543769629234e-10
1.021212121212121104e+01,1.869246654032979667e-10
1.040404040404040309e+01,1.785403220674119143e-10
1.059595959595959513e+01,1.706481667370938596e-10
1.078787878787878718e+01,1.632119442070451770e-10
1.097979797979797922e+01,1.561986210660966808e-10
1.117171717171717127e+01,1.495780509629704664e-10
1.136363636363636331e+01,1.433226795696978521e-10
1.155555555555555536e+01,1.374072839669150272e-10
1.174747474747474740e+01,1.318087419497110045e-10
1.193939393939393945e+01,1.265058274030211218e-10
1.213131313131312972e+01,1.214790284432749343e-10
1.232323232323232176e+01,1.167103854856260143e-10
1.251515151515151381e+01,1.121833467879228532e-10
1.270707070707070585e+01,1.078826393553499652e-10
1.289898989898989790e+01,1.037941533730085517e-10
1.309090909090908994e+01,9.990483857557441011e-11
1.328282828282828198e+01,9.620261117013334794e-11
1.347474747474747403e+01,9.267627010581465211e-11
1.366666666666666607e+01,8.931542163645272679e-11
1.385858585858585812e+01,8.611041125399955754e-11
1.405050505050505016e+01,8.305226218394704219e-11
1.424242424242424221e+01,8.013261973226258574e-11
1.443434343434343425e+01,7.734370085851980218e-11
1.462626262626262452e+01,7.467824842390960822e-11
1.481818181818181657e+01,7.212948962722922513e-11
1.501010101010100861e+01,6.969109819812091823e-11
1.520202020202020066e+01,6.735715996590794748e-11
1.539393939393939270e+01,6.512214146532744739e-11
1.558585858585858475e+01,6.298086127811631795e-11
1.577777777777777679e+01,6.092846384247809133e-11
1.596969696969696884e+01,5.896039549154685522e-11
1.616161616161615910e+01,5.707238250759530671e-11
1.635353535353535293e+01,5.526041100135018148e-11
1.654545454545454675e+01,5.352070844576528113e-11
1.673737373737373701e+01,5.184972671129303924e-11
1.692929292929292728e+01,5.024412646537558301e-11
1.712121212121212110e+01,4.870076281279435613e-11
1.731313131313131137e+01,4.721667206588789972e-11
1.750505050505050519e+01,4.578905954465747238e-11
1.769696969696969546e+01,4.441528831659376421e-11
1.788888888888888928e+01,4.309286879481344674e-11
1.808080808080807955e+01,4.181944912091876375e-11
1.827272727272726982e+01,4.059280626599150315e-11
1.846464646464646364e+01,3.941083778940265481e-11
1.865656565656565391e+01,3.827155420073933108e-11
1.884848484848484773e+01,3.717307187519711084e-11
1.904040404040403800e+01,3.611360647732285284e-11
1.923232323232323182e+01,3.509146685207223316e-11
1.942424242424242209e+01,3.410504934582384862e-11
1.961616161616161591e+01,3.315283252330505124e-11
1.980808080808080618e+01,3.223337224937747681e-11
2.000000000000000000e+01,3.134529710733232573e-11
