distance_m,Pr_W
1.000000000000000000e+00,6.001188370860486639e-09
1.191919191919191823e+00,3.084375404811410840e-09
1.383838383838383868e+00,1.670758615867441210e-09
1.575757575757575690e+00,9.408691846461696336e-10
1.767676767676767735e+00,5.459161493408542279e-10
1.959595959595959558e+00,3.243561800609983115e-10
2.151515151515151381e+00,1.964671873729322136e-10
2.343434343434343425e+00,1.209196447717107682e-10
2.535353535353535470e+00,7.543084749991329427e-11
2.727272727272727071e+00,4.759841592380512299e-11
2.919191919191919116e+00,3.033527526925358523e-11
3.111111111111111160e+00,1.950140000389285826e-11
3.303030303030302761e+00,1.263267478642351578e-11
3.494949494949494806e+00,8.238767011003968671e-12
3.686868686868686851e+00,5.405704328837899888e-12
3.878787878787878451e+00,3.566146379742858988e-12
4.070707070707070940e+00,2.364150499819914202e-12
4.262626262626262985e+00,1.574286995749971695e-12
4.454545454545454142e+00,1.052580278701030124e-12
4.646464646464646187e+00,7.063831678943219215e-13
4.838383838383838231e+00,4.756730827177122348e-13
5.030303030303030276e+00,3.213249994087274172e-13
5.222222222222222321e+00,2.176936256346987554e-13
5.414141414141413478e+00,1.478838733588493171e-13
5.606060606060605522e+00,1.007135786339164248e-13
5.797979797979797567e+00,6.875017486615191026e-14
5.989898989898989612e+00,4.703398788316665578e-14
6.181818181818181657e+00,3.224348256813161708e-14
6.373737373737373701e+00,2.214673283866834632e-14
6.565656565656564858e+00,1.523930880756590946e-14
6.757575757575756903e+00,1.050420877999220820e-14
6.949494949494948948e+00,7.252075251915864833e-15
7.141414141414140992e+00,5.014457428075886512e-15
7.333333333333333037e+00,3.472267157110743721e-15
7.525252525252525082e+00,2.407672576584121310e-15
7.717171717171717127e+00,1.671655772155507995e-15
7.909090909090908283e+00,1.162073621553580602e-15
8.101010101010100328e+00,8.087830264486665797e-16
8.292929292929292373e+00,5.635313071622098290e-16
8.484848484848484418e+00,3.930695380007230301e-16
8.676767676767676463e+00,2.744512609705991465e-16
8.868686868686868507e+00,1.918165714479665966e-16
9.060606060606060552e+00,1.341880579496173343e-16
9.252525252525252597e+00,9.395748948954212100e-17
9.444444444444444642e+00,6.584498869019065182e-17
9.636363636363634910e+00,4.618200643868637817e-17
9.828282828282826955e+00,3.241660014823349736e-17
1.002020202020201900e+01,2.277159221817077458e-17
1.021212121212121104e+01,1.600803513980580278e-17
1.040404040404040309e+01,1.126132490051872845e-17
1.059595959595959513e+01,7.927505632330011699e-18
1.078787878787878718e+01,5.584298541594965727e-18
1.097979797979797922e+01,3.936186277625727159e-18
1.117171717171717127e+01,2.776182900723059291e-18
1.136363636363636331e+01,1.959191472119906722e-18
1.155555555555555536e+01,1.383418170033732255e-18
1.174747474747474740e+01,9.773940540430205225e-19
1.193939393939393945e+01,6.909040950499954834e-19
1.213131313131312972e+01,4.886414485579745820e-19
1.232323232323232176e+01,3.457643823845198385e-19
1.251515151515151381e+01,2.447828012011117460e-19
1.270707070707070585e+01,1.733747423410825084e-19
1.289898989898989790e+01,1.228538904885588776e-19
1.309090909090908994e+01,8.709321113120344427e-20
1.328282828282828198e+01,6.176840662944315222e-20
1.347474747474747403e+01,4.382579901348933801e-20
1.366666666666666607e+01,3.110781492194727835e-20
1.385858585858585812e+01,2.208922478143793296e-20
1.405050505050505016e+01,1.569126782322195284e-20
1.424242424242424221e+01,1.115058538297680718e-20
1.443434343434343425e+01,7.926747659024170599e-21
1.462626262626262452e+01,5.636973129835183253e-21
1.481818181818181657e+01,4.010019259061907008e-21
1.501010101010100861e+01,2.853597165962114189e-21
1.520202020202020066e+01,2.031331867386722753e-21
1.539393939393939270e+01,1.446463720481646880e-21
1.558585858585858475e+01,1.030313107705383257e-21
1.577777777777777679e+01,7.341124945057164182e-22
1.596969696969696884e+01,5.232202364588033909e-22
1.616161616161615910e+01,3.730198173012139178e-22
1.635353535353535293e+01,2.660123320901057201e-22
1.654545454545454675e+01,1.897541448157616649e-22
1.673737373737373701e+01,1.353934475045902746e-22
1.692929292929292728e+01,9.663139134399877463e-23
1.712121212121212110e+01,6.898433053825184885e-23
1.731313131313131137e+01,4.925970670198304487e-23
1.750505050505050519e+01,3.518357201693192426e-23
1.769696969696969546e+01,2.513578475245218264e-23
1.788888888888888928e+01,1.796168714884577485e-23
1.808080808080807955e+01,1.283813049681550153e-23
1.827272727272726982e+01,9.178132262836817046e-24
1.846464646464646364e+01,6.563003872938215369e-24
1.865656565656565391e+01,4.694019076128807640e-24
1.884848484848484773e+01,3.357986609696619487e-24
1.904040404040403800e+01,2.402719801261994922e-24
1.923232323232323182e+01,1.719552921055452812e-24
1.942424242424242209e+01,1.230876453023352430e-24
1.961616161616161591e+01,8.812480696390101267e-25
1.980808080808080618e+01,6.310518441642503355e-25
2.000000000000000000e+01,4.519739919356317860e-25
