distance_m,snr_dB
1.000000000000000000e+00,-1.024205268676471192e+01
1.191919191919191823e+00,-1.345641639028166736e+01
1.383838383838383868e+00,-1.621445283356614908e+01
1.575757575757575690e+00,-1.863510967331669832e+01
1.767676767676767735e+00,-2.079614418303769341e+01
1.959595959595959558e+00,-2.275118849372461582e+01
2.151515151515151381e+00,-2.453880086486474710e+01
2.343434343434343425e+00,-2.618763380586062794e+01
2.535353535353535470e+00,-2.771956112990675081e+01
2.727272727272727071e+00,-2.915166082594467056e+01
2.919191919191919116e+00,-3.049752205393767923e+01
3.111111111111111160e+00,-3.176813515971026902e+01
3.303030303030302761e+00,-3.297251481743780488e+01
3.494949494949494806e+00,-3.411814691727303028e+01
3.686868686868686851e+00,-3.521131583255836262e+01
3.878787878787878451e+00,-3.625734854514517735e+01
4.070707070707070940e+00,-3.726079975443562375e+01
4.262626262626262985e+00,-3.822559430376959710e+01
4.454545454545454142e+00,-3.915513821552062268e+01
4.646464646464646187e+00,-4.005240628805088932e+01
4.838383838383838231e+00,-4.092001195181082807e+01
5.030303030303030276e+00,-4.176026352888605686e+01
5.222222222222222321e+00,-4.257520995302314049e+01
5.414141414141413478e+00,-4.336667823415104550e+01
5.606060606060605522e+00,-4.413630439402513872e+01
5.797979797979797567e+00,-4.488555919246540071e+01
5.989898989898989612e+00,-4.561576966266539301e+01
6.181818181818181657e+00,-4.632813724905464170e+01
6.373737373737373701e+00,-4.702375317127377485e+01
6.565656565656564858e+00,-4.770361150825473118e+01
6.757575757575756903e+00,-4.836862039671386526e+01
6.949494949494948948e+00,-4.901961166102874756e+01
7.141414141414140992e+00,-4.965734913099583991e+01
7.333333333333333037e+00,-5.028253585632920419e+01
7.525252525252525082e+00,-5.089582038897410854e+01
7.717171717171717127e+00,-5.149780227413895517e+01
7.909090909090908283e+00,-5.208903686671065003e+01
8.101010101010100328e+00,-5.267003957013120896e+01
8.292929292929292373e+00,-5.324128957889647751e+01
8.484848484848484418e+00,-5.380323319283554184e+01
8.676767676767676463e+00,-5.435628676065439890e+01
8.868686868686868507e+00,-5.490083930142144197e+01
9.060606060606060552e+00,-5.543725484537529269e+01
9.252525252525252597e+00,-5.596587452936216778e+01
9.444444444444444642e+00,-5.648701847713458335e+01
9.636363636363634910e+00,-5.700098749048501645e+01
9.828282828282826955e+00,-5.750806457360155122e+01
1.002020202020201900e+01,-5.800851631000138298e+01
1.021212121212121104e+01,-5.850259410882689082e+01
1.040404040404040309e+01,-5.899053533510095093e+01
1.059595959595959513e+01,-5.947256433666989750e+01
1.078787878787878718e+01,-5.994889337896327675e+01
1.097979797979797922e+01,-6.041972349732513692e+01
1.117171717171717127e+01,-6.088524527548835863e+01
1.136363636363636331e+01,-6.134563955774123656e+01
1.155555555555555536e+01,-6.180107810145044311e+01
1.174747474747474740e+01,-6.225172417583577555e+01
1.193939393939393945e+01,-6.269773311222363077e+01
1.213131313131312972e+01,-6.313925281042202897e+01
1.232323232323232176e+01,-6.357642420535032102e+01
1.251515151515151381e+01,-6.400938169760921426e+01
1.270707070707070585e+01,-6.443825355128427645e+01
1.289898989898989790e+01,-6.486316226193021350e+01
1.309090909090908994e+01,-6.528422489737884860e+01
1.328282828282828198e+01,-6.570155341374403690e+01
1.347474747474747403e+01,-6.611525494875860431e+01
1.366666666666666607e+01,-6.652543209436716154e+01
1.385858585858585812e+01,-6.693218315031040788e+01
1.405050505050505016e+01,-6.733560236026987411e+01
1.424242424242424221e+01,-6.773578013199272618e+01
1.443434343434343425e+01,-6.813280324268335164e+01
1.462626262626262452e+01,-6.852675503082940622e+01
1.481818181818181657e+01,-6.891771557552370098e+01
1.501010101010100861e+01,-6.930576186424703167e+01
1.520202020202020066e+01,-6.969096794999208555e+01
1.539393939393939270e+01,-7.007340509853062827e+01
1.558585858585858475e+01,-7.045314192655663987e+01
1.577777777777777679e+01,-7.083024453137583976e+01
1.596969696969696884e+01,-7.120477661275445769e+01
1.616161616161615910e+01,-7.157679958748956039e+01
1.635353535353535293e+01,-7.194637269721643236e+01
1.654545454545454675e+01,-7.231355310992645968e+01
1.673737373737373701e+01,-7.267839601563082397e+01
1.692929292929292728e+01,-7.304095471657034011e+01
1.712121212121212110e+01,-7.340128071234065033e+01
1.731313131313131137e+01,-7.375942378027241375e+01
1.750505050505050519e+01,-7.411543205138092105e+01
1.769696969696969546e+01,-7.446935208217446700e+01
1.788888888888888928e+01,-7.482122892259000935e+01
1.808080808080807955e+01,-7.517110618030359603e+01
1.827272727272726982e+01,-7.551902608164579078e+01
1.846464646464646364e+01,-7.586502952933437882e+01
1.865656565656565391e+01,-7.620915615722223890e+01
1.884848484848484773e+01,-7.655144438224353109e+01
1.904040404040403800e+01,-7.689193145372837535e+01
1.923232323232323182e+01,-7.723065350024468501e+01
1.942424242424242209e+01,-7.756764557411420924e+01
1.961616161616161591e+01,-7.790294169374016064e+01
1.980808080808080618e+01,-7.823657488387405579e+01
2.000000000000000000e+01,-7.856857721394143823e+01
