distance_m,snr_dB
1.000000000000000000e+00,-1.214321558939028733e+01
1.191919191919191823e+00,-1.572245072060966642e+01
1.383838383838383868e+00,-1.884535833859793286e+01
1.575757575757575690e+00,-2.163088619270586932e+01
1.767676767676767735e+00,-2.415679160884410948e+01
1.959595959595959558e+00,-2.647670674987663375e+01
2.151515151515151381e+00,-2.862918989578176721e+01
2.343434343434343425e+00,-3.064289356973477396e+01
2.535353535353535470e+00,-3.253969159452758930e+01
2.727272727272727071e+00,-3.433666196599320131e+01
2.919191919191919116e+00,-3.604739384917009914e+01
3.111111111111111160e+00,-3.768287759370207368e+01
3.303030303030302761e+00,-3.925212787669293846e+01
3.494949494949494806e+00,-4.076263059057775706e+01
3.686868686868686851e+00,-4.222067011050346252e+01
3.878787878787878451e+00,-4.363157341976648951e+01
4.070707070707070940e+00,-4.499989521893936484e+01
4.262626262626262985e+00,-4.632956035231966041e+01
4.454545454545454142e+00,-4.762397484307177820e+01
4.646464646464646187e+00,-4.888611349021652330e+01
4.838383838383838231e+00,-5.011858972475696561e+01
5.030303030303030276e+00,-5.132371186924568462e+01
5.222222222222222321e+00,-5.250352885782631773e+01
5.414141414141413478e+00,-5.365986770076747803e+01
5.606060606060605522e+00,-5.479436442011663644e+01
5.797979797979797567e+00,-5.590848977594621516e+01
5.989898989898989612e+00,-5.700357080166901369e+01
6.181818181818181657e+00,-5.808080894190572963e+01
6.373737373737373701e+00,-5.914129541646438071e+01
6.565656565656564858e+00,-6.018602430442403772e+01
6.757575757575756903e+00,-6.121590374263082879e+01
6.949494949494948948e+00,-6.223176555557715517e+01
7.141414141414140992e+00,-6.323437357316140606e+01
7.333333333333333037e+00,-6.422443084518839385e+01
7.525252525252525082e+00,-6.520258592368440986e+01
7.717171717171717127e+00,-6.616943835393034590e+01
7.909090909090908283e+00,-6.712554349087815808e+01
8.101010101010100328e+00,-6.807141673802837545e+01
8.292929292929292373e+00,-6.900753728992958713e+01
8.484848484848484418e+00,-6.993435144645847856e+01
8.676767676767676463e+00,-7.085227555636416241e+01
8.868686868686868507e+00,-7.176169863875409760e+01
9.060606060606060552e+00,-7.266298472390241159e+01
9.252525252525252597e+00,-7.355647494868757974e+01
9.444444444444444642e+00,-7.444248943689157727e+01
9.636363636363634910e+00,-7.532132899033373974e+01
9.828282828282826955e+00,-7.619327661322672895e+01
1.002020202020201900e+01,-7.705859888911017208e+01
1.021212121212121104e+01,-7.791754722714711079e+01
1.040404040404040309e+01,-7.877035899237930039e+01
1.059595959595959513e+01,-7.961725853267046205e+01
1.078787878787878718e+01,-8.045845811346616472e+01
1.097979797979797922e+01,-8.129415877012517910e+01
1.117171717171717127e+01,-8.212455108639400692e+01
1.136363636363636331e+01,-8.294981590657343418e+01
1.155555555555555536e+01,-8.377012498804177199e+01
1.174747474747474740e+01,-8.458564160002953258e+01
1.193939393939393945e+01,-8.539652107387310309e+01
1.213131313131312972e+01,-8.620291130938964841e+01
1.232323232323232176e+01,-8.700495324150709564e+01
1.251515151515151381e+01,-8.780278127083411732e+01
1.270707070707070585e+01,-8.859652366146357849e+01
1.289898989898989790e+01,-8.938630290895714836e+01
1.309090909090908994e+01,-9.017223608115295974e+01
1.328282828282828198e+01,-9.095443513417083636e+01
1.347474747474747403e+01,-9.173300720574917477e+01
1.366666666666666607e+01,-9.250805488783775843e+01
1.385858585858585812e+01,-9.327967648018210411e+01
1.405050505050505016e+01,-9.404796622646826165e+01
1.424242424242424221e+01,-9.481301453444758920e+01
1.443434343434343425e+01,-9.557490818132845334e+01
1.462626262626262452e+01,-9.633373050560221884e+01
1.481818181818181657e+01,-9.708956158636510736e+01
1.501010101010100861e+01,-9.784247841110122579e+01
1.520202020202020066e+01,-9.859255503280627408e+01
1.539393939393939270e+01,-9.933986271725481743e+01
1.558585858585858475e+01,-1.000844700811436070e+02
1.577777777777777679e+01,-1.008264432217808491e+02
1.596969696969696884e+01,-1.015658458389351182e+02
1.616161616161615910e+01,-1.023027393494057122e+02
1.635353535353535293e+01,-1.030371829948300189e+02
1.654545454545454675e+01,-1.037692339432014137e+02
1.673737373737373701e+01,-1.044989473845328405e+02
1.692929292929292728e+01,-1.052263766210669758e+02
1.712121212121212110e+01,-1.059515731524010675e+02
1.731313131313131137e+01,-1.066745867558672956e+02
1.750505050505050519e+01,-1.073954655624824852e+02
1.769696969696969546e+01,-1.081142561287562387e+02
1.788888888888888928e+01,-1.088310035046268496e+02
1.808080808080807955e+01,-1.095457512977716164e+02
1.827272727272726982e+01,-1.102585417345222538e+02
1.846464646464646364e+01,-1.109694157175976841e+02
1.865656565656565391e+01,-1.116784128808517380e+02
1.884848484848484773e+01,-1.123855716412196557e+02
1.904040404040403800e+01,-1.130909292480324382e+02
1.923232323232323182e+01,-1.137945218298588941e+02
1.942424242424242209e+01,-1.144963844390216252e+02
1.961616161616161591e+01,-1.151965510939246116e+02
1.980808080808080618e+01,-1.158950548193201513e+02
2.000000000000000000e+01,-1.165919276846344701e+02
