distance_m,snr_dB
1.000000000000000000e+00,-9.776570206559169307e+00
1.191919191919191823e+00,-1.290159841702760168e+01
1.383838383838383868e+00,-1.557029942935782074e+01
1.575757575757575690e+00,-1.790162087755796350e+01
1.767676767676767735e+00,-1.997332002229603631e+01
1.959595959595959558e+00,-2.183902898675981064e+01
2.151515151515151381e+00,-2.353730602541470773e+01
2.343434343434343425e+00,-2.509680364428651700e+01
2.535353535353535470e+00,-2.653939565421545410e+01
2.727272727272727071e+00,-2.788216004245147062e+01
2.919191919191919116e+00,-2.913868596771113317e+01
3.111111111111111160e+00,-3.031996377487986649e+01
3.303030303030302761e+00,-3.143500813741222899e+01
3.494949494949494806e+00,-3.249130494489850207e+01
3.686868686868686851e+00,-3.349513857023575270e+01
3.878787878787878451e+00,-3.445183599491819848e+01
4.070707070707070940e+00,-3.536595191805815830e+01
4.262626262626262985e+00,-3.624141118275793616e+01
4.454545454545454142e+00,-3.708161981119437911e+01
4.646464646464646187e+00,-3.788955260156554772e+01
4.838383838383838231e+00,-3.866782298418379327e+01
5.030303030303030276e+00,-3.941873928101768598e+01
5.222222222222222321e+00,-4.014435042571400913e+01
5.414141414141413478e+00,-4.084648342811608046e+01
5.606060606060605522e+00,-4.152677430990536322e+01
5.797979797979797567e+00,-4.218669383083771152e+01
5.989898989898989612e+00,-4.282756902405080268e+01
6.181818181818181657e+00,-4.345060133392521351e+01
6.373737373737373701e+00,-4.405688198005854161e+01
6.565656565656564858e+00,-4.464740504134471166e+01
6.757575757575756903e+00,-4.522307865446638431e+01
6.949494949494948948e+00,-4.578473464377118773e+01
7.141414141414140992e+00,-4.633313683902885316e+01
7.333333333333333037e+00,-4.686898828992951849e+01
7.525252525252525082e+00,-4.739293754839697215e+01
7.717171717171717127e+00,-4.790558415962027539e+01
7.909090909090908283e+00,-4.840748347846886190e+01
8.101010101010100328e+00,-4.889915090836895217e+01
8.292929292929292373e+00,-4.938106564380206720e+01
8.484848484848484418e+00,-4.985367398458426180e+01
8.676767676767676463e+00,-5.031739227940964554e+01
8.868686868686868507e+00,-5.077260954733579013e+01
9.060606060606060552e+00,-5.121968981859137671e+01
9.252525252525252597e+00,-5.165897423001352706e+01
9.444444444444444642e+00,-5.209078290534640843e+01
9.636363636363634910e+00,-5.251541664637480267e+01
9.828282828282826955e+00,-5.293315845727973823e+01
1.002020202020201900e+01,-5.334427492157183792e+01
1.021212121212121104e+01,-5.374901744838748385e+01
1.040404040404040309e+01,-5.414762340274393182e+01
1.059595959595959513e+01,-5.454031713248233615e+01
1.078787878787878718e+01,-5.492731090302741848e+01
1.097979797979797922e+01,-5.530880574971877905e+01
1.117171717171717127e+01,-5.568499225628511340e+01
1.136363636363636331e+01,-5.605605126701085084e+01
1.155555555555555536e+01,-5.642215453925900448e+01
1.174747474747474740e+01,-5.678346534224604625e+01
1.193939393939393945e+01,-5.714013900729516138e+01
1.213131313131312972e+01,-5.749232343421144975e+01
1.232323232323232176e+01,-5.784015955791144137e+01
1.251515151515151381e+01,-5.818378177899329273e+01
1.270707070707070585e+01,-5.852331836154007760e+01
1.289898989898989790e+01,-5.885889180110424945e+01
1.309090909090908994e+01,-5.919061916551545011e+01
1.328282828282828198e+01,-5.951861241088550969e+01
1.347474747474747403e+01,-5.984297867494532852e+01
1.366666666666666607e+01,-6.016382054963773385e+01
1.385858585858585812e+01,-6.048123633470169125e+01
1.405050505050505016e+01,-6.079532027381713988e+01
1.424242424242424221e+01,-6.110616277472971802e+01
1.443434343434343425e+01,-6.141385061464235662e+01
1.462626262626262452e+01,-6.171846713204139689e+01
1.481818181818181657e+01,-6.202009240601830697e+01
1.501010101010100861e+01,-6.231880342405268181e+01
1.520202020202020066e+01,-6.261467423913607178e+01
1.539393939393939270e+01,-6.290777611703907723e+01
1.558585858585858475e+01,-6.319817767445469769e+01
1.577777777777777679e+01,-6.348594500868763646e+01
1.596969696969696884e+01,-6.377114181950317828e+01
1.616161616161615910e+01,-6.405382952369747329e+01
1.635353535353535293e+01,-6.433406736290496042e+01
1.654545454545454675e+01,-6.461191250511623707e+01
1.673737373737373701e+01,-6.488742014034167482e+01
1.692929292929292728e+01,-6.516064357082136382e+01
1.712121212121212110e+01,-6.543163429615023574e+01
1.731313131313131137e+01,-6.570044209365828181e+01
1.750505050505050519e+01,-6.596711509436013898e+01
1.769696969696969546e+01,-6.623169985476349098e+01
1.788888888888888928e+01,-6.649424142480471289e+01
1.808080808080807955e+01,-6.675478341215929845e+01
1.827272727272726982e+01,-6.701336804315724294e+01
1.846464646464646364e+01,-6.727003622051586262e+01
1.865656565656565391e+01,-6.752482757808751046e+01
1.884848484848484773e+01,-6.777778053280587756e+01
1.904040404040403800e+01,-6.802893233400064332e+01
1.923232323232323182e+01,-6.827831911023929479e+01
1.942424242424242209e+01,-6.852597591384315479e+01
1.961616161616161591e+01,-6.877193676321502380e+01
1.980808080808080618e+01,-6.901623468310606313e+01
2.000000000000000000e+01,-6.925890174294144686e+01
