distance_m,snr_dB
1.000000000000000000e+00,-2.361760938982961022e+01
1.191919191919191823e+00,-2.939900749345980557e+01
1.383838383838383868e+00,-3.472407674524544063e+01
1.575757575757575690e+00,-3.971176542518344377e+01
1.767676767676767735e+00,-4.443983115177537258e+01
1.959595959595959558e+00,-4.896190626047877004e+01
2.151515151515151381e+00,-5.331654913843678401e+01
2.343434343434343425e+00,-5.753241237810080122e+01
2.535353535353535470e+00,-6.163136984852930311e+01
2.727272727272727071e+00,-6.563049957729927542e+01
2.919191919191919116e+00,-6.954339075173051299e+01
3.111111111111111160e+00,-7.338103373741495261e+01
3.303030303030302761e+00,-7.715244322306739377e+01
3.494949494949494806e+00,-8.086510510970433074e+01
3.686868686868686851e+00,-8.452530377890047930e+01
3.878787878787878451e+00,-8.813836621882532540e+01
4.070707070707070940e+00,-9.170884713378657693e+01
4.262626262626262985e+00,-9.524067137097340208e+01
4.454545454545454142e+00,-9.873724495580943028e+01
4.646464646464646187e+00,-1.022015426890957031e+02
4.838383838383838231e+00,-1.056361780032491140e+02
5.030303030303030276e+00,-1.090434592219532703e+02
5.222222222222222321e+00,-1.124254352802628745e+02
5.414141414141413478e+00,-1.157839331891849355e+02
5.606060606060605522e+00,-1.191205889713691874e+02
5.797979797979797567e+00,-1.224368733873818513e+02
5.989898989898989612e+00,-1.257341134710427752e+02
6.181818181818181657e+00,-1.290135106673099301e+02
6.373737373737373701e+00,-1.322761561962719838e+02
6.565656565656564858e+00,-1.355230441372426640e+02
6.757575757575756903e+00,-1.387550826272649829e+02
6.949494949494948948e+00,-1.419731034909974028e+02
7.141414141414140992e+00,-1.451778705584786735e+02
7.333333333333333037e+00,-1.483700868796327370e+02
7.525252525252525082e+00,-1.515504010065874354e+02
7.717171717171717127e+00,-1.547194124847103183e+02
7.909090909090908283e+00,-1.578776766690276361e+02
8.101010101010100328e+00,-1.610257089631037104e+02
8.292929292929292373e+00,-1.641639885615421690e+02
8.484848484848484418e+00,-1.672929617642671474e+02
8.676767676767676463e+00,-1.704130449200688702e+02
8.868686868686868507e+00,-1.735246270480903092e+02
9.060606060606060552e+00,-1.766280721786364438e+02
9.252525252525252597e+00,-1.797237214486122809e+02
9.444444444444444642e+00,-1.828118949818223768e+02
9.636363636363634910e+00,-1.858928935801044418e+02
9.828282828282826955e+00,-1.889670002476849504e+02
1.002020202020201900e+01,-1.920344815681104933e+02
1.021212121212121104e+01,-1.950955889505400194e+02
1.040404040404040309e+01,-1.981505597599911539e+02
1.059595959595959513e+01,-2.011996183442654456e+02
1.078787878787878718e+01,-2.042429769686710017e+02
1.097979797979797922e+01,-2.072808366682805570e+02
1.117171717171717127e+01,-2.103133880262576838e+02
1.136363636363636331e+01,-2.133408118857286127e+02
1.155555555555555536e+01,-2.163632800017158502e+02
1.174747474747474740e+01,-2.193809556387392661e+02
1.193939393939393945e+01,-2.223939941187309159e+02
1.213131313131312972e+01,-2.254025433227586177e+02
1.232323232323232176e+01,-2.284067441484086771e+02
1.251515151515151381e+01,-2.314067309219910840e+02
1.270707070707070585e+01,-2.344026317598978153e+02
1.289898989898989790e+01,-2.373945688643200356e+02
1.309090909090908994e+01,-2.403826587208671128e+02
1.328282828282828198e+01,-2.433670121310711920e+02
1.347474747474747403e+01,-2.463477339448311341e+02
1.366666666666666607e+01,-2.493249222240955874e+02
1.385858585858585812e+01,-2.522986663056296663e+02
1.405050505050505016e+01,-2.552690427119092078e+02
1.424242424242424221e+01,-2.582361068381792961e+02
1.443434343434343425e+01,-2.611998763362242357e+02
1.462626262626262452e+01,-2.641602981737704567e+02
1.481818181818181657e+01,-2.671171836265768320e+02
1.501010101010100861e+01,-2.700700803918020938e+02
1.520202020202020066e+01,-2.730180218193588075e+02
1.539393939393939270e+01,-2.759590374947699161e+02
1.558585858585858475e+01,-2.788892058601960002e+02
1.577777777777777679e+01,-2.818008485104821830e+02
1.596969696969696884e+01,-2.846791913808721119e+02
1.616161616161615910e+01,-2.874965590369728261e+02
1.635353535353535293e+01,-2.902035251207512374e+02
1.654545454545454675e+01,-2.927192400232943896e+02
1.673737373737373701e+01,-2.949310378894822406e+02
1.692929292929292728e+01,-2.967219139354734807e+02
1.712121212121212110e+01,-2.980286612039317902e+02
1.731313131313131137e+01,-2.988842842237617106e+02
1.750505050505050519e+01,-2.993951654782812284e+02
1.769696969696969546e+01,-2.996807903453037056e+02
1.788888888888888928e+01,-2.998340715797943403e+02
1.808080808080807955e+01,-2.999144405597234027e+02
1.827272727272726982e+01,-2.999560600929038969e+02
1.846464646464646364e+01,-2.999774769065882651e+02
1.865656565656565391e+01,-2.999884638173930966e+02
1.884848484848484773e+01,-2.999940923893558988e+02
1.904040404040403800e+01,-2.999969744500517095e+02
1.923232323232323182e+01,-2.999984501025861618e+02
1.942424242424242209e+01,-2.999992057841058113e+02
1.961616161616161591e+01,-2.999995928772613070e+02
1.980808080808080618e+01,-2.999997912295630158e+02
2.000000000000000000e+01,-2.999998929045812588e+02
